Dataset,MR1,MR2,objfailureRateMR1,objfailureRateMR2,objfailureRateMR1_MR2_combined,objfailureRateMR1_2_composite,classfailureRateMR1,classfailureRateMR2,classfailureRateMR1_MR2_combined,classfailureRateMR1_2_composite,objClassDetectFailureRateMR1,objClassDetectFailureRateMR2,objClassDetectFailureRateMR1_MR2,objClassDetectFailureRateMR12,objDetectCompositeMRUniqueFaults,objClassCompositeMRUniqueFaults,compositeMRUniqueFaults,timeMR1,timeMR2,timeMR12,timeMR12_composite,Avg. MRx U MRy Improvement for object Detection,Avg.effectiveness of composite MR against composable MRs (Detection),Avg. MRx U MRy Improvement for object classification,Avg.effectiveness of composite MR against composable MRs (classification),Avg. MRx U MRy Improvement for object ,Avg. effectiveness of composite MR against composable MRs
,flipLeftRight,brightnessPlus20,0.295789474,0.188421053,0.367368421,0.295789474,0.173684211,0.133684211,0.241052632,0.204210526,0.148421053,0.113684211,0.204210526,0.167368421,0.044210526,0.029473684,0.032631579,1523.879697,1522.572106,3046.451803,1570.125421,1,0,1,1,1,1
,flipUpDown,brightnessPlus20,0.7,0.188421053,0.72,0.702105263,0.746315789,0.133684211,0.753684211,0.754736842,0.670526316,0.113684211,0.676842105,0.675789474,0.038947368,0.022105263,0.032631579,1512.650643,1509.592372,3022.243014,1498.631836,1,1,0,1,1,1
,rotatePlus5deg,brightnessPlus20,0.321052632,0.188421053,0.393684211,0.351578947,0.252631579,0.133684211,0.296842105,0.291578947,0.216842105,0.113684211,0.261052632,0.249473684,0.051578947,0.04,0.041052632,1507.936302,1471.228273,2979.164575,1380.8777,1,1,1,1,1,1
,shearPlus20deg,brightnessPlus20,0.353684211,0.188421053,0.411578947,0.371578947,0.261052632,0.133684211,0.302105263,0.292631579,0.233684211,0.113684211,0.270526316,0.26,0.058947368,0.041052632,0.048421053,1455.576481,1375.643751,2831.220232,1470.196796,1,1,1,1,1,1
,flipLeftRight,brightnessMinus20,0.295789474,0.306315789,0.424210526,0.345263158,0.173684211,0.266315789,0.310526316,0.293684211,0.148421053,0.238947368,0.283157895,0.249473684,0.050526316,0.052631579,0.044210526,1417.043489,1417.265237,2834.308726,1416.584533,1,1,1,1,1,1
,flipUpDown,brightnessMinus20,0.7,0.306315789,0.728421053,0.751578947,0.746315789,0.266315789,0.753684211,0.781052632,0.670526316,0.238947368,0.683157895,0.728421053,0.070526316,0.052631579,0.073684211,1427.069266,1429.862735,2856.932001,1436.044435,0,1,0,1,0,1
,rotatePlus5deg,brightnessMinus20,0.321052632,0.306315789,0.433684211,0.406315789,0.252631579,0.266315789,0.348421053,0.364210526,0.216842105,0.238947368,0.317894737,0.330526316,0.057894737,0.054736842,0.06,1432.478463,1439.427034,2871.905497,1443.430094,1,1,0,1,0,1
,shearPlus20deg,brightnessMinus20,0.353684211,0.306315789,0.452631579,0.418947368,0.261052632,0.266315789,0.356842105,0.374736842,0.233684211,0.238947368,0.329473684,0.34,0.056842105,0.058947368,0.06,1533.70913,1452.136538,2985.845668,1517.52277,1,1,0,1,0,1
,flipLeftRight,fisheye,0.295789474,0.418947368,0.489473684,0.425263158,0.173684211,0.366315789,0.393684211,0.366315789,0.148421053,0.329473684,0.355789474,0.332631579,0.055789474,0.041052632,0.047368421,1450.025601,4796.516297,6246.541898,4518.66462,1,1,1,0,1,1
,flipUpDown,fisheye,0.7,0.418947368,0.744210526,0.731578947,0.746315789,0.366315789,0.758947368,0.78,0.670526316,0.329473684,0.687368421,0.707368421,0.078947368,0.066315789,0.083157895,1444.987019,4890.934887,6335.921906,4831.267185,1,1,0,1,0,1
