Dataset,MR1,MR2,objfailureRateMR1,objfailureRateMR2,objfailureRateMR1_MR2_combined,objfailureRateMR1_2_composite,classfailureRateMR1,classfailureRateMR2,classfailureRateMR1_MR2_combined,classfailureRateMR1_2_composite,objClassDetectFailureRateMR1,objClassDetectFailureRateMR2,objClassDetectFailureRateMR1_MR2,objClassDetectFailureRateMR12,objDetectCompositeMRUniqueFaults,objClassCompositeMRUniqueFaults,compositeMRUniqueFaults,timeMR1,timeMR2,timeMR12,timeMR12_composite,Avg. MRx U MRy Improvement for object Detection,Avg. MRx U MRy effectiveness of composite MR against composable MRs (Detection),Avg. MRx U MRy Improvement for object classification,Avg. MRx U MRy effectiveness of composite MR against composable MRs (classification),Avg. MRx U MRy Improvement for object ,Avg. MRx U MRy effectiveness of composite MR against composable MRs
,flipUpDown,contrastUp,0.26740666,0.185671039,0.285570131,0.263370333,0.98284561,0.884964682,0.990918264,0.980827447,0.258324924,0.154389506,0.26135217,0.254288597,0.008072654,0.005045409,0.003027245,182.2421811,185.2084121,367.4505932,178.5047453,1,0,1,0,1,0
,rotatePlus5deg,contrastUp,0.202825429,0.185671039,0.286579213,0.213925328,0.778002018,0.884964682,0.923309788,0.87184662,0.09283552,0.154389506,0.182643794,0.157416751,0.02926337,0.018163471,0.020181635,180.0800116,177.2145859,357.2945975,179.8579976,1,1,1,0,1,1
,shearPlus20deg,contrastUp,0.189707366,0.185671039,0.259334006,0.21493441,0.832492432,0.884964682,0.933400605,0.909182644,0.132189707,0.154389506,0.19778002,0.183652876,0.027245207,0.01715439,0.022199798,349.2390849,171.6914832,520.9305681,349.7088198,1,1,1,1,1,1
,flipLeftRight,contrastDown,0.167507568,0.030272452,0.178607467,0.167507568,0.786074672,0.750756811,0.839556004,0.792129162,0.088799193,0.022199798,0.09889001,0.090817356,0.007063572,0.00605449,0.00605449,166.3120954,170.6409319,336.9530273,179.6413672,1,0,1,1,1,1
,flipUpDown,contrastDown,0.26740666,0.030272452,0.269424823,0.269424823,0.98284561,0.750756811,0.990918264,0.98284561,0.258324924,0.022199798,0.258324924,0.259334006,0.002018163,0.001009082,0.001009082,178.1802764,178.4164877,356.5967641,179.6797672,0,1,1,0,0,1
,rotatePlus5deg,contrastDown,0.202825429,0.030272452,0.211907164,0.205852674,0.778002018,0.750756811,0.851664985,0.774974773,0.09283552,0.022199798,0.100908174,0.095862765,0.013118063,0.002018163,0.00605449,179.0138882,174.4839725,353.4978607,178.5625367,1,1,1,0,1,1
,shearPlus20deg,contrastDown,0.189707366,0.030272452,0.195761857,0.188698285,0.832492432,0.750756811,0.874873865,0.834510595,0.132189707,0.022199798,0.137235116,0.134207871,0.007063572,0.003027245,0.005045409,359.1388027,179.3738041,538.5126068,354.0021931,1,0,1,1,1,1
,fisheye,brightnessPlus20,0.317860747,0.02320888,0.322906155,0.325933401,0.733602422,0.743693239,0.891019173,0.724520686,0.140262361,0.015136226,0.143289606,0.13925328,0.022199798,0.00605449,0.00605449,8611.527212,185.106855,8796.634067,8628.719768,0,1,1,0,1,0
,fisheye,brightnessMinus20,0.317860747,0.049445005,0.342078708,0.309788093,0.733602422,0.743693239,0.897073663,0.742684157,0.140262361,0.02320888,0.152371342,0.141271443,0.010090817,0.004036327,0.004036327,9396.67908,183.5798809,9580.258961,9877.060923,1,0,1,0,1,1
,fisheye,contrastUp,0.317860747,0.185671039,0.388496468,0.269424823,0.733602422,0.884964682,0.946518668,0.863773966,0.140262361,0.154389506,0.209889001,0.186680121,0.034308779,0.016145308,0.015136226,9987.494773,185.8420009,10173.33677,9947.569823,1,0,1,0,1,1
,fisheye,contrastDown,0.317860747,0.030272452,0.323915237,0.31987891,0.733602422,0.750756811,0.891019173,0.735620585,0.140262361,0.022199798,0.14530777,0.143289606,0.021190716,0.00605449,0.00605449,10143.59466,184.5703452,10328.16501,9931.235917,1,1,1,0,1,1
,fisheye,blurImage,0.317860747,0.190716448,0.391523713,0.277497477,0.733602422,0.900100908,0.948536831,0.908173562,0.140262361,0.173562059,0.212916246,0.223007064,0.035317861,0.028254289,0.032290616,9926.951305,188.3897614,10115.34107,8689.934561,1,0,1,1,0,1
oidfood,flipLeftRight,flipUpDown,0.19286872,0.260940032,0.317666126,0.252836305,0.808752026,0.944894652,0.967585089,0.943273906,0.111831442,0.231766613,0.244732577,0.230145867,0.011345219,0.009724473,0.008103728,124.013145,113.5774962,237.5906412,117.7742933,1,0,1,0,1,0
,flipLeftRight,rotateMinus5deg,0.19286872,0.241491086,0.31280389,0.223662885,0.808752026,0.758508914,0.871961102,0.799027553,0.111831442,0.115072934,0.162074554,0.118314425,0.048622366,0.032414911,0.025931929,107.740277,114.585965,222.326242,110.5818148,1,0,1,0,1,1
,flipLeftRight,rotatePlus5deg,0.19286872,0.215559157,0.303079417,0.270664506,0.808752026,0.779578606,0.889789303,0.782820097,0.111831442,0.110210697,0.1636953,0.139384117,0.069692058,0.02917342,0.035656402,110.8924733,108.1808595,219.0733328,108.1352081,1,1,1,0,1,1
,flipLeftRight,shearMinus20deg,0.19286872,0.207455429,0.273905997,0.22528363,0.808752026,0.846029173,0.896272285,0.857374392,0.111831442,0.150729335,0.17828201,0.157212318,0.038897893,0.027552674,0.022690438,109.5535423,216.483835,326.0373773,218.0838759,1,1,1,1,1,1
,flipLeftRight,shearPlus20deg,0.19286872,0.215559157,0.275526742,0.209076175,0.808752026,0.852512156,0.907617504,0.846029173,0.111831442,0.157212318,0.184764992,0.144246353,0.042139384,0.019448947,0.021069692,108.120868,217.6272853,325.7481533,222.1812468,1,0,1,0,1,0
,flipUpDown,rotateMinus5deg,0.260940032,0.241491086,0.356564019,0.275526742,0.944894652,0.758508914,0.969205835,0.923824959,0.231766613,0.115072934,0.23987034,0.228525122,0.024311183,0.006482982,0.008103728,113.0669907,109.914347,222.9813377,111.722404,1,1,1,0,1,0
,flipUpDown,rotatePlus5deg,0.260940032,0.215559157,0.34197731,0.282009724,0.944894652,0.779578606,0.964343598,0.930307942,0.231766613,0.110210697,0.241491086,0.236628849,0.024311183,0.011345219,0.012965964,105.9171886,109.9421336,215.8593222,111.7615091,1,1,1,0,1,1
,flipUpDown,shearMinus20deg,0.260940032,0.207455429,0.311183144,0.272285251,0.944894652,0.846029173,0.972447326,0.949756888,0.231766613,0.150729335,0.246353323,0.244732577,0.01458671,0.008103728,0.008103728,105.7401641,220.6489469,326.389111,217.6884452,1,1,1,1,1,1
,flipUpDown,shearPlus20deg,0.260940032,0.215559157,0.311183144,0.256077796,0.944894652,0.852512156,0.97082658,0.959481361,0.231766613,0.157212318,0.246353323,0.23987034,0.008103728,0.003241491,0.006482982,109.3437912,222.668258,332.0120492,214.685241,1,0,1,1,1,1
,rotateMinus5deg,shearMinus20degrees,0.241491086,0.207455429,0.299837925,0.25445705,0.758508914,0.846029173,0.881685575,0.8363047,0.115072934,0.150729335,0.17828201,0.170178282,0.056726094,0.037277147,0.030794165,108.3189967,220.5331817,328.8521784,245.1932644,1,1,1,0,1,1
,rotateMinus5deg,shearPlus20degrees,0.241491086,0.215559157,0.314424635,0.264181524,0.758508914,0.852512156,0.89465154,0.797406807,0.115072934,0.157212318,0.186385737,0.14910859,0.051863857,0.017828201,0.016207455,120.6899204,223.1684861,343.8584065,242.8353073,1,1,1,0,1,0
,flipLeftRight,blurImage,0.19286872,0.222042139,0.285251216,0.235008104,0.808752026,0.897893031,0.927066451,0.888168558,0.111831442,0.186385737,0.204213938,0.188006483,0.019448947,0.012965964,0.012965964,108.1541426,115.8864256,224.0405682,115.369142,1,1,1,0,1,1
,flipUpDown,blurImage,0.260940032,0.222042139,0.296596434,0.260940032,0.944894652,0.897893031,0.978930308,0.977309562,0.231766613,0.186385737,0.256077796,0.252836305,0.004862237,0.004862237,0.006482982,113.9333932,121.146323,235.0797162,118.851029,1,0,1,1,1,1
,rotateMinus5deg,blur_image,0.241491086,0.222042139,0.322528363,0.23987034,0.758508914,0.897893031,0.927066451,0.883306321,0.115072934,0.186385737,0.209076175,0.184764992,0.009724473,0.008103728,0.006482982,116.5916318,110.3181042,226.909736,115.4851264,1,0,1,0,1,0
