Dataset,MR1,MR2,objfailureRateMR1,objfailureRateMR2,objfailureRateMR1_MR2_combined,objfailureRateMR1_2_composite,classfailureRateMR1,classfailureRateMR2,classfailureRateMR1_MR2_combined,classfailureRateMR1_2_composite,objClassDetectFailureRateMR1,objClassDetectFailureRateMR2,objClassDetectFailureRateMR1_MR2,objClassDetectFailureRateMR12,objDetectCompositeMRUniqueFaults,objClassCompositeMRUniqueFaults,compositeMRUniqueFaults,timeMR1,timeMR2,timeMR12,timeMR12_composite,Avg. MRx U MRy Improvement for object Detection,Avg. MRx U MRy effectiveness of composite MR against composable MRs (Detection),Avg. MRx U MRy Improvement for object classification,Avg. MRx U MRy effectiveness of composite MR against composable MRs (classification),Avg. MRx U MRy Improvement for object ,Avg. MRx U MRy effectiveness of composite MR against composable MRs
,flipLeftRight,rotatePlus5deg,0.34085213,0.403508772,0.511278195,0.413533835,0.704260652,0.709273183,0.847117794,0.744360902,0.172932331,0.230576441,0.285714286,0.245614035,0.052631579,0.047619048,0.042606516,66.3355977,71.2717515,137.6073492,66.6408611,1,1,1,1,1,1
,flipLeftRight,shearMinus20deg,0.34085213,0.348370927,0.463659148,0.388471178,0.704260652,0.807017544,0.869674185,0.799498747,0.172932331,0.26566416,0.310776942,0.273182957,0.065162907,0.052631579,0.042606516,67.7289787,136.6298513,204.35883,138.1820428,1,1,1,0,1,1
,flipLeftRight,shearPlus20deg,0.34085213,0.35839599,0.488721805,0.360902256,0.704260652,0.781954887,0.86716792,0.784461153,0.172932331,0.245614035,0.290726817,0.255639098,0.037593985,0.050125313,0.05764411,68.3941028,136.4426974,204.8368002,138.569802,1,1,1,1,1,1
,flipUpDown,rotateMinus5deg,0.423558897,0.35839599,0.528822055,0.43358396,0.992481203,0.719298246,1,0.994987469,0.421052632,0.200501253,0.428571429,0.428571429,0.002506266,0,0,64.3249116,68.4538679,132.7787795,65.0207587,1,1,1,1,0,1
,flipUpDown,rotatePlus5deg,0.423558897,0.403508772,0.538847118,0.426065163,0.992481203,0.709273183,0.997493734,1,0.421052632,0.230576441,0.426065163,0.426065163,0,0.002506266,0.002506266,67.0748272,68.4077095,135.4825367,66.6352034,1,1,0,1,0,1
,flipUpDown,shearMinus20deg,0.423558897,0.348370927,0.478696742,0.43358396,0.992481203,0.807017544,1,0.994987469,0.421052632,0.26566416,0.426065163,0.428571429,0.007518797,0,0.002506266,70.2650484,139.4120442,209.6770926,140.828055,1,1,1,1,0,1
,flipUpDown,shearPlus20deg,0.423558897,0.35839599,0.486215539,0.428571429,0.992481203,0.781954887,1,1,0.421052632,0.245614035,0.428571429,0.428571429,0,0,0,63.9653452,139.6594446,203.6247898,136.4168424,1,1,0,1,0,1
,rotateMinus5deg,shearMinus20degrees,0.35839599,0.348370927,0.478696742,0.398496241,0.719298246,0.807017544,0.872180451,0.852130326,0.200501253,0.26566416,0.315789474,0.318295739,0.040100251,0.042606516,0.045112782,72.9820629,144.4724904,217.4545533,157.1845527,1,1,1,1,0,1
,rotateMinus5deg,shearPlus20degrees,0.35839599,0.35839599,0.493734336,0.406015038,0.719298246,0.781954887,0.869674185,0.779448622,0.200501253,0.245614035,0.295739348,0.268170426,0.052631579,0.050125313,0.050125313,69.8226239,138.2138116,208.0364355,149.5359909,1,1,1,0,1,1
,flipLeftRight,blurImage,0.34085213,0.34085213,0.461152882,0.368421053,0.704260652,0.859649123,0.902255639,0.852130326,0.172932331,0.303258145,0.328320802,0.310776942,0.030075188,0.025062657,0.022556391,69.0063497,74.3096192,143.3159689,76.2094013,1,1,1,0,1,1
,flipUpDown,blurImage,0.423558897,0.34085213,0.453634085,0.426065163,0.992481203,0.859649123,0.997493734,0.994987469,0.421052632,0.303258145,0.426065163,0.423558897,0.002506266,0,0,65.9769182,70.9284735,136.9053917,73.446733,1,1,1,1,1,1
,rotateMinus5deg,blur_image,0.35839599,0.34085213,0.473684211,0.380952381,0.719298246,0.859649123,0.912280702,0.90726817,0.200501253,0.303258145,0.34085213,0.345864662,0.032581454,0.035087719,0.040100251,66.7949336,73.2965338,140.0914674,77.175517,1,1,1,1,0,1
,rotatePlus5deg,shearMinus20degrees,0.403508772,0.348370927,0.501253133,0.413533835,0.709273183,0.807017544,0.879699248,0.794486216,0.230576441,0.26566416,0.328320802,0.285714286,0.047619048,0.040100251,0.027568922,68.0076016,140.4764669,208.4840685,147.0244956,1,1,1,0,1,1
,rotatePlus5deg,shearPlus20degrees,0.403508772,0.35839599,0.506265664,0.393483709,0.709273183,0.781954887,0.852130326,0.874686717,0.230576441,0.245614035,0.298245614,0.323308271,0.032581454,0.07518797,0.062656642,67.6300851,137.9886756,205.6187607,165.2941509,1,0,0,1,0,1
,rotatePlus5deg,blurImage,0.403508772,0.34085213,0.478696742,0.383458647,0.709273183,0.859649123,0.904761905,0.884711779,0.230576441,0.303258145,0.335839599,0.328320802,0.042606516,0.032581454,0.030075188,72.7824009,70.5450217,143.3274226,71.9376796,1,0,1,1,1,1
,shearMinus20degrees,blurImage,0.348370927,0.34085213,0.446115288,0.388471178,0.807017544,0.859649123,0.932330827,0.929824561,0.26566416,0.303258145,0.350877193,0.363408521,0.030075188,0.022556391,0.030075188,138.6012516,72.162905,210.7641566,143.4960811,1,1,1,1,0,1
,shearPlus20degrees,blurImage,0.35839599,0.34085213,0.456140351,0.395989975,0.781954887,0.859649123,0.919799499,0.914786967,0.245614035,0.303258145,0.345864662,0.35839599,0.030075188,0.037593985,0.042606516,146.3846167,76.4288103,222.813427,142.4379955,1,1,1,1,0,1
,flipLeftRight,brightnessPlus20,0.34085213,0.050125313,0.345864662,0.353383459,0.704260652,0.606516291,0.784461153,0.701754386,0.172932331,0.037593985,0.177944862,0.185463659,0.025062657,0.005012531,0.012531328,68.4908025,73.8371374,142.3279399,72.6637322,0,1,1,0,0,1
,flipUpDown,brightnessPlus20,0.423558897,0.050125313,0.431077694,0.423558897,0.992481203,0.606516291,0.997493734,0.992481203,0.421052632,0.037593985,0.426065163,0.421052632,0,0,0,71.5579247,71.8489734,143.4068981,69.0942213,1,0,1,0,1,0
,rotatePlus5deg,brightnessPlus20,0.403508772,0.050125313,0.408521303,0.411027569,0.709273183,0.606516291,0.819548872,0.69924812,0.230576441,0.037593985,0.235588972,0.220551378,0.025062657,0.010025063,0.007518797,70.302407,67.5791717,137.8815787,71.2079752,0,1,1,0,1,0
,shearPlus20deg,brightnessPlus20,0.35839599,0.050125313,0.368421053,0.350877193,0.781954887,0.606516291,0.844611529,0.786967419,0.245614035,0.037593985,0.253132832,0.245614035,0.012531328,0.005012531,0.005012531,138.05868,67.891797,205.950477,138.3579881,1,0,1,1,1,0
,flipLeftRight,brightnessMinus20,0.34085213,0.095238095,0.360902256,0.373433584,0.704260652,0.614035088,0.776942356,0.691729323,0.172932331,0.05764411,0.19047619,0.185463659,0.045112782,0.015037594,0.025062657,68.4611366,69.8131305,138.2742671,68.1967988,0,1,1,0,1,1
,flipUpDown,brightnessMinus20,0.423558897,0.095238095,0.446115288,0.423558897,0.992481203,0.614035088,0.997493734,0.992481203,0.421052632,0.05764411,0.423558897,0.421052632,0,0,0,69.5028422,66.6167179,136.1195601,71.8637676,1,0,1,0,1,0
,rotatePlus5deg,brightnessMinus20,0.403508772,0.095238095,0.431077694,0.413533835,0.709273183,0.614035088,0.834586466,0.686716792,0.230576441,0.05764411,0.258145363,0.223057644,0.035087719,0.007518797,0.010025063,67.2302846,66.3765868,133.6068714,69.5315134,1,1,1,0,1,0
,shearPlus20deg,brightnessMinus20,0.35839599,0.095238095,0.393483709,0.353383459,0.781954887,0.614035088,0.84962406,0.789473684,0.245614035,0.05764411,0.263157895,0.245614035,0.020050125,0.010025063,0.010025063,139.0615674,65.8398063,204.9013737,136.4563623,1,0,1,1,1,0
,flipLeftRight,fisheye,0.34085213,0.448621554,0.528822055,0.423558897,0.704260652,0.857142857,0.922305764,0.84962406,0.172932331,0.34085213,0.363408521,0.330827068,0.037593985,0.027568922,0.025062657,67.2008657,4061.045341,4128.246206,3816.546487,1,0,1,0,1,0
,flipUpDown,fisheye,0.423558897,0.448621554,0.50877193,0.426065163,0.992481203,0.857142857,1,1,0.421052632,0.34085213,0.426065163,0.426065163,0.002506266,0,0.002506266,81.2378072,4087.66451,4168.902317,4101.462652,1,0,0,1,0,1
,rotatePlus5deg,fisheye,0.403508772,0.448621554,0.538847118,0.458646617,0.709273183,0.857142857,0.892230576,0.799498747,0.230576441,0.34085213,0.35839599,0.313283208,0.055137845,0.030075188,0.01754386,71.939753,3825.723404,3897.663157,5015.100492,1,1,1,0,1,0
,shearPlus20deg,fisheye,0.35839599,0.448621554,0.511278195,0.431077694,0.781954887,0.857142857,0.932330827,0.884711779,0.245614035,0.34085213,0.370927318,0.360902256,0.040100251,0.035087719,0.027568922,153.5587666,4061.006582,4214.565348,5015.894848,1,0,1,1,1,1
,flipLeftRight,contrastUp,0.34085213,0.35839599,0.486215539,0.373433584,0.704260652,0.842105263,0.902255639,0.824561404,0.172932331,0.295739348,0.330827068,0.293233083,0.027568922,0.012531328,0.012531328,94.0339938,84.5112434,178.5452372,78.1814451,1,1,1,0,1,0
,flipUpDown,contrastUp,0.423558897,0.35839599,0.476190476,0.426065163,0.992481203,0.842105263,1,1,0.421052632,0.295739348,0.428571429,0.426065163,0,0,0,75.8540995,74.8918164,150.7459159,76.9563948,1,1,0,1,1,1
,rotatePlus5deg,contrastUp,0.403508772,0.35839599,0.503759398,0.385964912,0.709273183,0.842105263,0.899749373,0.864661654,0.230576441,0.295739348,0.343358396,0.318295739,0.027568922,0.032581454,0.025062657,75.3518782,77.4236876,152.7755658,79.2941504,1,0,1,1,1,1
,shearPlus20deg,contrastUp,0.35839599,0.35839599,0.473684211,0.383458647,0.781954887,0.842105263,0.92481203,0.894736842,0.245614035,0.295739348,0.348370927,0.338345865,0.027568922,0.020050125,0.032581454,161.4917106,76.6175333,238.1092439,154.7700011,1,1,1,1,1,1
,flipLeftRight,contrastDown,0.34085213,0.070175439,0.360902256,0.35839599,0.704260652,0.614035088,0.79197995,0.696741855,0.172932331,0.045112782,0.195488722,0.185463659,0.032581454,0.007518797,0.01754386,76.8910302,79.6384791,156.5295093,74.6616052,1,1,1,0,1,1
,flipUpDown,contrastDown,0.423558897,0.070175439,0.43358396,0.423558897,0.992481203,0.614035088,0.997493734,0.992481203,0.421052632,0.045112782,0.423558897,0.421052632,0,0,0,76.8581345,77.9174862,154.7756207,78.9162427,1,0,1,0,1,0
,rotatePlus5deg,contrastDown,0.403508772,0.070175439,0.421052632,0.406015038,0.709273183,0.614035088,0.829573935,0.711779449,0.230576441,0.045112782,0.243107769,0.223057644,0.027568922,0.020050125,0.01754386,78.5079369,76.3821435,154.8900804,79.7140024,1,1,1,1,1,0
,shearPlus20deg,contrastDown,0.35839599,0.070175439,0.385964912,0.353383459,0.781954887,0.614035088,0.852130326,0.781954887,0.245614035,0.045112782,0.26566416,0.243107769,0.007518797,0.002506266,0.002506266,153.0066094,75.4221957,228.4288051,155.2668423,1,0,1,0,1,0
,fisheye,brightnessPlus20,0.448621554,0.050125313,0.453634085,0.463659148,0.857142857,0.606516291,0.937343358,0.852130326,0.34085213,0.037593985,0.34085213,0.34085213,0.020050125,0.005012531,0.007518797,4106.441939,75.2927069,4181.734645,3885.813573,0,1,1,0,0,0
,fisheye,brightnessMinus20,0.448621554,0.095238095,0.468671679,0.443609023,0.857142857,0.614035088,0.934837093,0.852130326,0.34085213,0.05764411,0.345864662,0.335839599,0.010025063,0.002506266,0.005012531,4067.957393,99.2847849,4167.242178,4165.128976,1,0,1,0,1,0
,fisheye,contrastUp,0.448621554,0.35839599,0.518796992,0.4160401,0.857142857,0.842105263,0.949874687,0.902255639,0.34085213,0.295739348,0.388471178,0.360902256,0.015037594,0.020050125,0.007518797,4004.634149,75.5814868,4080.215636,3896.905266,1,0,1,1,1,1
,fisheye,contrastDown,0.448621554,0.070175439,0.456140351,0.458646617,0.857142857,0.614035088,0.934837093,0.842105263,0.34085213,0.045112782,0.345864662,0.335839599,0.01754386,0.002506266,0.002506266,3878.613917,64.5028993,3943.116816,3481.612978,0,1,1,0,1,0
,fisheye,blurImage,0.448621554,0.34085213,0.49122807,0.436090226,0.857142857,0.859649123,0.949874687,0.947368421,0.34085213,0.303258145,0.37593985,0.403508772,0.027568922,0.030075188,0.032581454,3425.127297,76.3809868,3501.508283,3419.614166,1,0,1,1,0,1
oidperson,flipLeftRight,flipUpDown,0.363729508,0.521516393,0.585040984,0.507172131,0.632172131,0.972336066,0.983606557,0.978483607,0.191598361,0.50204918,0.504098361,0.49692623,0.00307377,0.009221311,0.005122951,170.6246216,138.2183493,308.8429709,151.7312123,1,0,1,1,1,0
,flipLeftRight,rotateMinus5deg,0.363729508,0.401639344,0.518442623,0.418032787,0.632172131,0.645491803,0.760245902,0.641393443,0.191598361,0.216188525,0.289959016,0.219262295,0.077868852,0.06352459,0.048155738,130.4695735,130.0175179,260.4870914,130.6791623,1,1,1,0,1,1
,flipLeftRight,rotatePlus5deg,0.363729508,0.392418033,0.530737705,0.418032787,0.632172131,0.629098361,0.756147541,0.652663934,0.191598361,0.202868852,0.282786885,0.227459016,0.06352459,0.05942623,0.055327869,127.3720644,127.5042367,254.8763011,122.9621935,1,1,1,1,1,1
,flipLeftRight,shearMinus20deg,0.363729508,0.383196721,0.516393443,0.429303279,0.632172131,0.760245902,0.832991803,0.773565574,0.191598361,0.299180328,0.348360656,0.322745902,0.068647541,0.06454918,0.069672131,117.955069,268.8763991,386.8314681,280.3494784,1,1,1,1,1,1
,flipLeftRight,shearPlus20deg,0.363729508,0.393442623,0.510245902,0.418032787,0.632172131,0.770491803,0.828893443,0.757172131,0.191598361,0.3125,0.354508197,0.31352459,0.056352459,0.06147541,0.054303279,127.5297506,289.6248568,417.1546074,297.8342571,1,1,1,0,1,1
,flipUpDown,rotateMinus5deg,0.521516393,0.401639344,0.592213115,0.517418033,0.972336066,0.645491803,0.984631148,0.981557377,0.50204918,0.216188525,0.505122951,0.50102459,0.011270492,0.009221311,0.005122951,147.1219579,145.5574007,292.6793586,147.4291014,1,0,1,1,1,0
,flipUpDown,rotatePlus5deg,0.521516393,0.392418033,0.605532787,0.520491803,0.972336066,0.629098361,0.984631148,0.977459016,0.50204918,0.202868852,0.506147541,0.504098361,0.006147541,0.008196721,0.005122951,135.9443237,141.3670862,277.3114099,141.3563667,1,0,1,1,1,1
,flipUpDown,shearMinus20deg,0.521516393,0.383196721,0.5625,0.518442623,0.972336066,0.760245902,0.986680328,0.983606557,0.50204918,0.299180328,0.506147541,0.509221311,0.008196721,0.007172131,0.006147541,134.1988424,290.9291376,425.12798,286.1829178,1,0,1,1,0,1
,flipUpDown,shearPlus20deg,0.521516393,0.393442623,0.55942623,0.517418033,0.972336066,0.770491803,0.987704918,0.985655738,0.50204918,0.3125,0.506147541,0.508196721,0.007172131,0.007172131,0.007172131,149.417085,320.3781459,469.7952309,301.4050572,1,0,1,1,0,1
,rotateMinus5deg,shearMinus20degrees,0.401639344,0.383196721,0.522540984,0.450819672,0.645491803,0.760245902,0.823770492,0.793032787,0.216188525,0.299180328,0.349385246,0.344262295,0.051229508,0.06045082,0.054303279,144.5591508,290.4383279,434.9974787,313.2811217,1,1,1,1,1,1
,rotateMinus5deg,shearPlus20degrees,0.401639344,0.393442623,0.522540984,0.396516393,0.645491803,0.770491803,0.834016393,0.729508197,0.216188525,0.3125,0.365778689,0.277663934,0.038934426,0.038934426,0.033811475,140.6990669,291.2614893,431.9605562,301.6633507,1,0,1,0,1,0
,flipLeftRight,blurImage,0.363729508,0.386270492,0.508196721,0.423155738,0.632172131,0.799180328,0.848360656,0.81352459,0.191598361,0.335040984,0.370901639,0.350409836,0.045081967,0.042008197,0.038934426,132.5056093,137.5585844,270.0641937,139.4314064,1,1,1,1,1,1
,flipUpDown,blurImage,0.521516393,0.386270492,0.553278689,0.511270492,0.972336066,0.799180328,0.992827869,0.983606557,0.50204918,0.335040984,0.509221311,0.50307377,0.007172131,0.00204918,0.00307377,133.2638968,138.4574196,271.7213164,143.6343644,1,0,1,1,1,1
,rotateMinus5deg,blur_image,0.401639344,0.386270492,0.530737705,0.429303279,0.645491803,0.799180328,0.857581967,0.81352459,0.216188525,0.335040984,0.384221311,0.360655738,0.032786885,0.043032787,0.040983607,137.2112367,137.4291946,274.6404313,142.3937301,1,1,1,1,1,1
,rotatePlus5deg,shearMinus20degrees,0.392418033,0.383196721,0.529713115,0.430327869,0.629098361,0.760245902,0.840163934,0.732581967,0.202868852,0.299180328,0.358606557,0.295081967,0.056352459,0.039959016,0.039959016,136.9981078,290.8675851,427.8656929,302.48201,1,1,1,0,1,0
,rotatePlus5deg,shearPlus20degrees,0.392418033,0.393442623,0.521516393,0.443647541,0.629098361,0.770491803,0.819672131,0.796106557,0.202868852,0.3125,0.349385246,0.347336066,0.06147541,0.072745902,0.068647541,134.6798005,285.9377503,420.6175508,322.9842554,1,1,1,1,1,1
,rotatePlus5deg,blurImage,0.392418033,0.386270492,0.531762295,0.422131148,0.629098361,0.799180328,0.855532787,0.81045082,0.202868852,0.335040984,0.37807377,0.349385246,0.031762295,0.040983607,0.033811475,165.0081474,141.3592937,306.3674411,144.5352809,1,1,1,1,1,1
,shearMinus20degrees,blurImage,0.383196721,0.386270492,0.493852459,0.450819672,0.760245902,0.799180328,0.885245902,0.879098361,0.299180328,0.335040984,0.401639344,0.412909836,0.044057377,0.039959016,0.045081967,288.5435897,137.0995777,425.6431674,297.6456467,1,1,1,1,0,1
,shearPlus20degrees,blurImage,0.393442623,0.386270492,0.49897541,0.454918033,0.770491803,0.799180328,0.889344262,0.883196721,0.3125,0.335040984,0.410860656,0.418032787,0.035860656,0.037909836,0.035860656,284.2488468,135.5560147,419.8048615,284.9556966,1,1,1,1,0,1
,flipLeftRight,brightnessPlus20,0.363729508,0.047131148,0.381147541,0.37397541,0.632172131,0.505122951,0.699795082,0.634221311,0.191598361,0.027663934,0.199795082,0.196721311,0.016393443,0.007172131,0.009221311,184.8310572,185.5177466,370.3488038,186.612507,1,1,1,1,1,1
,flipUpDown,brightnessPlus20,0.521516393,0.047131148,0.526639344,0.521516393,0.972336066,0.505122951,0.986680328,0.975409836,0.50204918,0.027663934,0.50307377,0.504098361,0.00102459,0.00204918,0.00204918,188.3010724,186.155584,374.4566564,176.6471654,1,0,1,1,0,1
,rotatePlus5deg,brightnessPlus20,0.392418033,0.047131148,0.406762295,0.391393443,0.629098361,0.505122951,0.716188525,0.62602459,0.202868852,0.027663934,0.213114754,0.203893443,0.022540984,0.007172131,0.008196721,177.9332948,177.7291424,355.6624372,184.6957028,1,0,1,0,1,1
,shearPlus20deg,brightnessPlus20,0.393442623,0.047131148,0.399590164,0.394467213,0.770491803,0.505122951,0.808401639,0.772540984,0.3125,0.027663934,0.31454918,0.31454918,0.015368852,0.009221311,0.009221311,353.2677504,176.9351239,530.2028743,361.7406708,1,1,1,1,0,1
,flipLeftRight,brightnessMinus20,0.363729508,0.096311475,0.392418033,0.375,0.632172131,0.514344262,0.696721311,0.629098361,0.191598361,0.048155738,0.204918033,0.193647541,0.030737705,0.012295082,0.014344262,186.020545,179.947919,365.968464,181.8839927,1,1,1,0,1,1
,flipUpDown,brightnessMinus20,0.521516393,0.096311475,0.537909836,0.515368852,0.972336066,0.514344262,0.987704918,0.977459016,0.50204918,0.048155738,0.504098361,0.50102459,0,0,0,176.1475501,177.04593,353.1934801,188.7643333,1,0,1,1,1,0
,rotatePlus5deg,brightnessMinus20,0.392418033,0.096311475,0.426229508,0.402663934,0.629098361,0.514344262,0.718237705,0.641393443,0.202868852,0.048155738,0.221311475,0.220286885,0.025614754,0.016393443,0.020491803,178.6172581,179.5927057,358.2099638,182.3791262,1,1,1,1,1,1
,shearPlus20deg,brightnessMinus20,0.393442623,0.096311475,0.418032787,0.390368852,0.770491803,0.514344262,0.81147541,0.759221311,0.3125,0.048155738,0.323770492,0.303278689,0.019467213,0.008196721,0.009221311,355.4213203,178.6031559,534.0244762,387.5307579,1,0,1,0,1,0
,flipLeftRight,fisheye,0.363729508,0.472336066,0.567622951,0.477459016,0.632172131,0.785860656,0.866803279,0.781762295,0.191598361,0.359631148,0.390368852,0.358606557,0.043032787,0.024590164,0.020491803,200.8364558,8794.06473,8994.901186,9673.438498,1,1,1,0,1,0
,flipUpDown,fisheye,0.521516393,0.472336066,0.599385246,0.514344262,0.972336066,0.785860656,0.989754098,0.988729508,0.50204918,0.359631148,0.509221311,0.508196721,0.004098361,0.007172131,0.004098361,199.028542,10470.25289,10669.28143,10190.56544,1,0,1,1,1,1
,rotatePlus5deg,fisheye,0.392418033,0.472336066,0.568647541,0.478483607,0.629098361,0.785860656,0.850409836,0.774590164,0.202868852,0.359631148,0.389344262,0.352459016,0.046106557,0.033811475,0.029713115,216.909104,10150.83648,10367.74558,10800.87921,1,1,1,0,1,0
,shearPlus20deg,fisheye,0.393442623,0.472336066,0.557377049,0.494877049,0.770491803,0.785860656,0.895491803,0.839139344,0.3125,0.359631148,0.420081967,0.405737705,0.037909836,0.037909836,0.038934426,353.890675,8666.248998,9020.139673,11257.52953,1,1,1,1,1,1
,flipLeftRight,contrastUp,0.363729508,0.397540984,0.516393443,0.401639344,0.632172131,0.768442623,0.832991803,0.772540984,0.191598361,0.31045082,0.352459016,0.3125,0.051229508,0.055327869,0.049180328,228.3350472,179.1921334,407.5271806,181.3272673,1,1,1,1,1,1
,flipUpDown,contrastUp,0.521516393,0.397540984,0.55942623,0.523565574,0.972336066,0.768442623,0.989754098,0.983606557,0.50204918,0.31045082,0.508196721,0.510245902,0.015368852,0.007172131,0.008196721,177.7119712,181.0088519,358.7208231,174.7754171,1,1,1,1,0,1
,rotatePlus5deg,contrastUp,0.392418033,0.397540984,0.539959016,0.454918033,0.629098361,0.768442623,0.845286885,0.763319672,0.202868852,0.31045082,0.37397541,0.332991803,0.047131148,0.038934426,0.035860656,192.3873407,193.0290917,385.4164324,194.6883492,1,1,1,0,1,1
,shearPlus20deg,contrastUp,0.393442623,0.397540984,0.505122951,0.449795082,0.770491803,0.768442623,0.87807377,0.844262295,0.3125,0.31045082,0.402663934,0.386270492,0.035860656,0.039959016,0.037909836,385.4711903,197.0382042,582.5093945,397.6785631,1,1,1,1,1,1
,flipLeftRight,contrastDown,0.363729508,0.06454918,0.386270492,0.37295082,0.632172131,0.519467213,0.702868852,0.635245902,0.191598361,0.040983607,0.201844262,0.197745902,0.019467213,0.008196721,0.011270492,180.5794754,192.8906924,373.4701678,197.1945932,1,1,1,1,1,1
,flipUpDown,contrastDown,0.521516393,0.06454918,0.526639344,0.519467213,0.972336066,0.519467213,0.986680328,0.974385246,0.50204918,0.040983607,0.50307377,0.50204918,0,0.00102459,0.00102459,193.6973732,213.1650437,406.8624169,206.7401017,1,0,1,1,1,0
,rotatePlus5deg,contrastDown,0.392418033,0.06454918,0.413934426,0.392418033,0.629098361,0.519467213,0.723360656,0.631147541,0.202868852,0.040983607,0.219262295,0.207991803,0.027663934,0.011270492,0.012295082,205.7880964,199.8797945,405.6678909,201.6262012,1,0,1,1,1,1
,shearPlus20deg,contrastDown,0.393442623,0.06454918,0.408811475,0.390368852,0.770491803,0.519467213,0.81352459,0.771516393,0.3125,0.040983607,0.320696721,0.3125,0.015368852,0.010245902,0.010245902,398.7228692,198.8787148,597.601584,398.6548349,1,0,1,1,1,0
,fisheye,brightnessPlus20,0.472336066,0.047131148,0.484631148,0.465163934,0.785860656,0.505122951,0.862704918,0.779713115,0.359631148,0.027663934,0.365778689,0.352459016,0.011270492,0.00307377,0.004098361,10045.8728,193.2991376,10239.17194,10062.15294,1,0,1,0,1,0
,fisheye,brightnessMinus20,0.472336066,0.096311475,0.495901639,0.470286885,0.785860656,0.514344262,0.860655738,0.790983607,0.359631148,0.048155738,0.368852459,0.359631148,0.009221311,0.009221311,0.008196721,9974.596134,176.9548098,10151.55094,9264.552458,1,0,1,1,1,0
,fisheye,contrastUp,0.472336066,0.397540984,0.557377049,0.489754098,0.785860656,0.768442623,0.908811475,0.844262295,0.359631148,0.31045082,0.425204918,0.407786885,0.037909836,0.027663934,0.029713115,8690.478377,171.6991266,8862.177503,8664.741367,1,1,1,1,1,1
,fisheye,contrastDown,0.472336066,0.06454918,0.483606557,0.466188525,0.785860656,0.519467213,0.863729508,0.780737705,0.359631148,0.040983607,0.365778689,0.352459016,0.011270492,0.004098361,0.00307377,8590.3823,171.3263368,8761.708637,8597.785603,1,0,1,0,1,0
,fisheye,blurImage,0.472336066,0.386270492,0.556352459,0.493852459,0.785860656,0.799180328,0.909836066,0.883196721,0.359631148,0.335040984,0.431352459,0.43442623,0.035860656,0.038934426,0.035860656,11556.18302,237.536137,11793.71916,11715.41074,1,1,1,1,0,1
oidvehicle,flipLeftRight,flipUpDown,0.376649746,0.582741117,0.665989848,0.58680203,0.535025381,0.996954315,0.997969543,0.990862944,0.178680203,0.58071066,0.58071066,0.578680203,0.006091371,0.001015228,0.003045685,176.3922754,176.075976,352.4682514,179.9221211,1,1,1,0,1,0
,flipLeftRight,rotateMinus5deg,0.376649746,0.382741117,0.54213198,0.397357724,0.535025381,0.612182741,0.725888325,0.634146341,0.178680203,0.233502538,0.30964467,0.260162602,0.091463415,0.095528455,0.094512195,177.5366921,183.4400744,360.9767665,185.2871897,1,1,1,1,1,1
,flipLeftRight,rotatePlus5deg,0.376649746,0.372588832,0.523857868,0.413617886,0.535025381,0.629441624,0.729949239,0.613821138,0.178680203,0.246700508,0.313705584,0.258130081,0.175813008,0.160569106,0.151422764,179.2970519,179.6446897,358.9417416,186.9861572,1,1,1,0,1,1
,flipLeftRight,shearMinus20deg,0.376649746,0.430456853,0.565482234,0.445685279,0.535025381,0.625380711,0.743147208,0.627411168,0.178680203,0.276142132,0.337055838,0.279187817,0.063959391,0.060913706,0.055837563,171.6406121,335.8159506,507.4565627,336.7201214,1,1,1,1,1,1
,flipLeftRight,shearPlus20deg,0.376649746,0.431472081,0.562436548,0.45786802,0.535025381,0.584771574,0.711675127,0.611167513,0.178680203,0.255837563,0.319796954,0.279187817,0.086294416,0.068020305,0.062944162,181.6615639,346.2681528,527.9297167,348.6429497,1,1,1,1,1,1
,flipUpDown,rotateMinus5deg,0.582741117,0.382741117,0.647715736,0.589847716,0.996954315,0.612182741,0.998984772,0.991878173,0.58071066,0.233502538,0.581725888,0.582741117,0.008121827,0.001015228,0.004060914,180.2429447,184.3099589,364.5529036,182.6505627,1,1,1,0,0,1
,flipUpDown,rotatePlus5deg,0.582741117,0.372588832,0.644670051,0.582741117,0.996954315,0.629441624,1,0.994923858,0.58071066,0.246700508,0.582741117,0.578680203,0.003045685,0,0.001015228,180.1668744,184.8401017,365.0069761,182.3015116,1,0,1,0,1,0
,flipUpDown,shearMinus20deg,0.582741117,0.430456853,0.665989848,0.591878173,0.996954315,0.625380711,1,0.991878173,0.58071066,0.276142132,0.581725888,0.584771574,0.009137056,0,0.005076142,201.5730484,360.2545174,561.8275658,353.8474659,1,1,1,0,0,1
,flipUpDown,shearPlus20deg,0.582741117,0.431472081,0.686294416,0.587817259,0.996954315,0.584771574,0.997969543,0.996954315,0.58071066,0.255837563,0.581725888,0.584771574,0.006091371,0.002030457,0.005076142,182.14395,354.2621318,536.4060818,359.3192731,1,1,1,0,0,1
,rotateMinus5deg,shearMinus20degrees,0.382741117,0.430456853,0.54213198,0.473096447,0.612182741,0.625380711,0.740101523,0.696446701,0.233502538,0.276142132,0.339086294,0.344162437,0.069035533,0.076142132,0.074111675,186.3877323,343.0635872,529.4513195,380.7610589,1,1,1,1,0,1
