Dataset,MR1,MR2,objfailureRateMR1,objfailureRateMR2,objfailureRateMR1_MR2_combined,objfailureRateMR1_2_composite,classfailureRateMR1,classfailureRateMR2,classfailureRateMR1_MR2_combined,classfailureRateMR1_2_composite,objClassDetectFailureRateMR1,objClassDetectFailureRateMR2,objClassDetectFailureRateMR1_MR2,objClassDetectFailureRateMR12,objDetectCompositeMRUniqueFaults,objClassCompositeMRUniqueFaults,compositeMRUniqueFaults,timeMR1,timeMR2,timeMR12,timeMR12_composite,Avg. MRx U MRy Improvement for object Detection,Avg.effectiveness of composite MR against composable MRs (Detection),Avg. MRx U MRy Improvement for object classification,Avg.effectiveness of composite MR against composable MRs (classification),Avg. MRx U MRy Improvement for object ,Avg. effectiveness of composite MR against composable MRs
,rotatePlus5deg,brightnessPlus20,0.303079417,0.207455429,0.377633712,0.325769854,0.199351702,0.181523501,0.282009724,0.252836305,0.158833063,0.121555916,0.218800648,0.186385737,0.064829822,0.040518639,0.035656402,539.291421,538.6218758,1077.913297,541.8709939,1,1,1,1,1,1
,shearPlus20deg,brightnessPlus20,0.320907618,0.207455429,0.406807131,0.356564019,0.267423015,0.181523501,0.333873582,0.314424635,0.205834684,0.121555916,0.259319287,0.241491086,0.051863857,0.038897893,0.04376013,632.9334819,539.7628929,1172.696375,635.3037317,1,1,1,1,1,1
,flipLeftRight,brightnessMinus20,0.231766613,0.4910859,0.557536467,0.494327391,0.166936791,0.487844408,0.525121556,0.486223663,0.115072934,0.414910859,0.444084279,0.410048622,0.030794165,0.016207455,0.021069692,539.2393077,539.6549465,1078.894254,540.3066166,1,1,1,0,1,0
,flipUpDown,brightnessMinus20,0.52350081,0.4910859,0.670988655,0.641815235,0.520259319,0.487844408,0.674230146,0.71636953,0.431118314,0.414910859,0.583468395,0.61102107,0.068071313,0.081037277,0.082658023,540.3009446,541.6258269,1081.926772,540.4408738,1,1,0,1,0,1
,rotatePlus5deg,brightnessMinus20,0.303079417,0.4910859,0.575364668,0.504051864,0.199351702,0.487844408,0.520259319,0.528363047,0.158833063,0.414910859,0.442463533,0.455429498,0.056726094,0.053484603,0.059967585,539.3953819,538.1072594,1077.502641,539.578881,1,1,0,1,0,1
,shearPlus20deg,brightnessMinus20,0.320907618,0.4910859,0.570502431,0.533225284,0.267423015,0.487844408,0.544570502,0.544570502,0.205834684,0.414910859,0.460291734,0.466774716,0.089141005,0.072933549,0.079416532,631.7701115,537.3736355,1169.143747,632.7175078,1,1,0,1,0,1
,flipLeftRight,fisheye,0.231766613,0.504051864,0.572123177,0.507293355,0.166936791,0.504051864,0.544570502,0.507293355,0.115072934,0.429497569,0.453808752,0.43273906,0.030794165,0.027552674,0.027552674,537.7451585,5091.890081,5629.635239,5094.769056,1,1,1,1,1,1
,flipUpDown,fisheye,0.52350081,0.504051864,0.649918963,0.623987034,0.520259319,0.504051864,0.645056726,0.656401945,0.431118314,0.429497569,0.546191248,0.578606159,0.081037277,0.066450567,0.084278768,536.9029562,5107.025436,5643.928392,5096.959696,1,1,0,1,0,1
,rotatePlus5deg,fisheye,0.303079417,0.504051864,0.586709887,0.52350081,0.199351702,0.504051864,0.525121556,0.529983793,0.158833063,0.429497569,0.448946515,0.445705024,0.040518639,0.035656402,0.034035656,541.396241,1229402.974,1229944.371,6676.627093,1,1,0,1,1,1
,shearPlus20deg,fisheye,0.320907618,0.504051864,0.588330632,0.513776337,0.267423015,0.504051864,0.544570502,0.520259319,0.205834684,0.429497569,0.460291734,0.445705024,0.038897893,0.040518639,0.037277147,720.0980204,6375.361202,7095.459222,7740.311455,1,1,1,1,1,1
,flipLeftRight,contrastUp,0.231766613,0.408427877,0.487844408,0.44732577,0.166936791,0.376012966,0.43273906,0.366288493,0.115072934,0.296596434,0.340356564,0.299837925,0.056726094,0.02917342,0.02917342,1519.238742,1449.573035,2968.811777,1451.210023,1,1,1,0,1,1
,flipUpDown,contrastUp,0.52350081,0.408427877,0.623987034,0.614262561,0.520259319,0.376012966,0.606158833,0.614262561,0.431118314,0.296596434,0.510534846,0.536466775,0.089141005,0.072933549,0.087520259,1618.390454,2910.660811,4529.051266,1420.776953,1,1,0,1,0,1
,rotatePlus5deg,contrastUp,0.303079417,0.408427877,0.510534846,0.435980551,0.199351702,0.376012966,0.421393841,0.372771475,0.158833063,0.296596434,0.335494327,0.307941653,0.066450567,0.053484603,0.05834684,1430.417353,1422.683427,2853.10078,1424.075243,1,1,1,0,1,1
,shearPlus20deg,contrastUp,0.320907618,0.408427877,0.528363047,0.453808752,0.267423015,0.376012966,0.458670989,0.416531605,0.205834684,0.296596434,0.37439222,0.338735818,0.066450567,0.059967585,0.053484603,1542.810483,1416.677363,2959.487847,1532.601426,1,1,1,1,1,1
,flipLeftRight,contrastDown,0.231766613,0.413290113,0.492706645,0.419773096,0.166936791,0.408427877,0.448946515,0.410048622,0.115072934,0.340356564,0.372771475,0.337115073,0.022690438,0.016207455,0.017828201,1418.875128,1416.682132,2835.55726,1420.144623,1,1,1,1,1,0
,flipUpDown,contrastDown,0.52350081,0.413290113,0.649918963,0.633711507,0.520259319,0.408427877,0.645056726,0.692058347,0.431118314,0.340356564,0.564019449,0.594813614,0.084278768,0.102106969,0.098865478,1416.107668,1417.459548,2833.567217,1423.692254,1,1,0,1,0,1
,rotatePlus5deg,contrastDown,0.303079417,0.413290113,0.52350081,0.435980551,0.199351702,0.408427877,0.450567261,0.41815235,0.158833063,0.340356564,0.379254457,0.340356564,0.053484603,0.042139384,0.042139384,1417.895369,1418.704833,2836.600202,1423.962204,1,1,1,1,1,0
,shearPlus20deg,contrastDown,0.320907618,0.413290113,0.521880065,0.481361426,0.267423015,0.408427877,0.484602917,0.479740681,0.205834684,0.340356564,0.40356564,0.40356564,0.072933549,0.066450567,0.066450567,1542.831594,1414.83837,2957.669963,1532.853706,1,1,1,1,0,1
,fisheye,brightnessPlus20,0.504051864,0.207455429,0.55267423,0.564019449,0.504051864,0.181523501,0.53808752,0.460291734,0.429497569,0.121555916,0.445705024,0.37439222,0.13452188,0.016207455,0.024311183,6611.275093,1572.79238,8184.067473,7357.366846,0,1,1,0,1,0
,fisheye,brightnessMinus20,0.504051864,0.4910859,0.653160454,0.633711507,0.504051864,0.487844408,0.635332253,0.654781199,0.429497569,0.414910859,0.554294976,0.583468395,0.097244733,0.09076175,0.094003241,9360.903904,3460.658659,12821.56256,9017.009755,1,1,0,1,0,1
,fisheye,contrastUp,0.504051864,0.408427877,0.61102107,0.546191248,0.504051864,0.376012966,0.593192869,0.570502431,0.429497569,0.296596434,0.495948136,0.474878444,0.076175041,0.074554295,0.064829822,9482.184421,1501.219448,10983.40387,7192.332585,1,1,1,1,1,1
