Dataset,MR1,MR2,objfailureRateMR1,objfailureRateMR2,objfailureRateMR1_MR2_combined,objfailureRateMR1_2_composite,classfailureRateMR1,classfailureRateMR2,classfailureRateMR1_MR2_combined,classfailureRateMR1_2_composite,objClassDetectFailureRateMR1,objClassDetectFailureRateMR2,objClassDetectFailureRateMR1_MR2,objClassDetectFailureRateMR12,objDetectCompositeMRUniqueFaults,objClassCompositeMRUniqueFaults,compositeMRUniqueFaults,timeMR1,timeMR2,timeMR12,timeMR12_composite,Avg. MRx U MRy Improvement for object Detection,Avg.effectiveness of composite MR against composable MRs (Detection),Avg. MRx U MRy Improvement for object classification,Avg.effectiveness of composite MR against composable MRs (classification),Avg. MRx U MRy Improvement for object ,Avg. effectiveness of composite MR against composable MRs
,flipUpDown,contrastUp,0.832080201,0.528822055,0.879699248,0.884711779,0.889724311,0.543859649,0.904761905,0.932330827,0.812030075,0.453634085,0.829573935,0.874686717,0.050125313,0.045112782,0.070175439,983.3393881,925.1821704,1908.521559,919.6874252,0,1,0,1,0,1
,rotatePlus5deg,contrastUp,0.421052632,0.528822055,0.636591479,0.614035088,0.393483709,0.543859649,0.616541353,0.626566416,0.325814536,0.453634085,0.536340852,0.546365915,0.062656642,0.052631579,0.067669173,972.4891171,990.193995,1962.683112,1001.394403,1,1,0,1,0,1
,shearPlus20deg,contrastUp,0.483709273,0.528822055,0.671679198,0.649122807,0.486215539,0.543859649,0.654135338,0.684210526,0.393483709,0.453634085,0.568922306,0.598997494,0.07518797,0.065162907,0.07518797,1127.168921,977.5741171,2104.743038,1127.19039,1,1,0,1,0,1
,flipLeftRight,contrastDown,0.298245614,0.443609023,0.541353383,0.456140351,0.248120301,0.438596491,0.478696742,0.453634085,0.177944862,0.353383459,0.401002506,0.355889724,0.047619048,0.037593985,0.040100251,986.4676698,953.5223146,1939.989984,918.1541009,1,1,1,1,1,1
,flipUpDown,contrastDown,0.832080201,0.443609023,0.86716792,0.887218045,0.889724311,0.438596491,0.897243108,0.932330827,0.812030075,0.353383459,0.824561404,0.872180451,0.065162907,0.047619048,0.070175439,921.1542709,972.1015138,1893.255785,977.4404322,0,1,0,1,0,1
,rotatePlus5deg,contrastDown,0.421052632,0.443609023,0.56641604,0.561403509,0.393483709,0.438596491,0.531328321,0.563909774,0.325814536,0.353383459,0.446115288,0.481203008,0.09273183,0.087719298,0.09273183,991.7909042,971.572884,1963.363788,920.100569,1,1,0,1,0,1
,shearPlus20deg,contrastDown,0.483709273,0.443609023,0.596491228,0.629072682,0.486215539,0.438596491,0.581453634,0.634085213,0.393483709,0.353383459,0.486215539,0.571428571,0.122807018,0.09273183,0.13283208,1004.788577,918.973511,1923.762088,1000.780961,0,1,0,1,0,1
,fisheye,brightnessPlus20,0.64160401,0.258145363,0.681704261,0.656641604,0.681704261,0.218045113,0.686716792,0.694235589,0.586466165,0.162907268,0.596491228,0.604010025,0.062656642,0.050125313,0.060150376,3799.887981,920.4728718,4720.360853,3826.246278,1,1,0,1,0,1
,fisheye,brightnessMinus20,0.64160401,0.516290727,0.724310777,0.766917293,0.681704261,0.526315789,0.73433584,0.817042607,0.586466165,0.446115288,0.649122807,0.736842105,0.112781955,0.097744361,0.117794486,3832.102248,919.0388706,4751.141119,3804.737924,0,1,0,1,0,1
,fisheye,contrastUp,0.64160401,0.528822055,0.764411028,0.756892231,0.681704261,0.543859649,0.764411028,0.776942356,0.586466165,0.453634085,0.679197995,0.696741855,0.080200501,0.070175439,0.07518797,3816.340152,918.8571608,4735.197313,3802.894909,1,1,0,1,0,1
