Dataset,MR1,MR2,objfailureRateMR1,objfailureRateMR2,objfailureRateMR1_MR2_combined,objfailureRateMR1_2_composite,classfailureRateMR1,classfailureRateMR2,classfailureRateMR1_MR2_combined,classfailureRateMR1_2_composite,objClassDetectFailureRateMR1,objClassDetectFailureRateMR2,objClassDetectFailureRateMR1_MR2,objClassDetectFailureRateMR12,objDetectCompositeMRUniqueFaults,objClassCompositeMRUniqueFaults,compositeMRUniqueFaults,timeMR1,timeMR2,timeMR12,timeMR12_composite
,flipLeftRight,contrastDown,0.571018651,0.230989957,0.631276901,0.591104735,0.510760402,0.307030129,0.586800574,0.520803443,0.31276901,0.137733142,0.367288379,0.327116212,0.041606887,0.024390244,0.034433286,41.9419939,42.4832646,84.4252585,43.0702793
,flipUpDown,contrastDown,0.786226686,0.230989957,0.797704448,0.791965567,0.955523673,0.307030129,0.965566714,0.962697274,0.771879484,0.137733142,0.776183644,0.781922525,0.008608321,0.005738881,0.008608321,41.914247,42.8355862,84.7498332,42.745374
,rotatePlus5deg,contrastDown,0.628407461,0.230989957,0.671449067,0.62697274,0.50215208,0.307030129,0.596843615,0.496413199,0.324246772,0.137733142,0.378766141,0.31133429,0.053084648,0.025824964,0.035868006,44.318673,43.638536,87.957209,45.1384483
,shearPlus20deg,contrastDown,0.606886657,0.230989957,0.645624103,0.612625538,0.583931133,0.307030129,0.648493544,0.588235294,0.403156385,0.137733142,0.444763271,0.411764706,0.043041607,0.027259684,0.034433286,107.2822685,42.4291864,149.7114549,108.1435072
,fisheye,brightnessPlus20,0.657101865,0.18507891,0.674318508,0.657101865,0.700143472,0.271162123,0.763271162,0.682926829,0.510760402,0.103299857,0.525107604,0.49784792,0.050215208,0.015781923,0.027259684,2807.377313,41.4898453,2848.867159,2771.250886
,fisheye,brightnessMinus20,0.657101865,0.209469154,0.69010043,0.645624103,0.700143472,0.294117647,0.766140603,0.710186514,0.510760402,0.129124821,0.532281205,0.510760402,0.022955524,0.010043042,0.018651363,2772.719178,42.0800738,2814.799251,2811.548619
,fisheye,contrastUp,0.657101865,0.647058824,0.806312769,0.714490674,0.700143472,0.652797704,0.826398852,0.770444763,0.510760402,0.451936872,0.621233859,0.583931133,0.055954089,0.038737446,0.058823529,2797.804972,41.9479598,2839.752932,2767.158109
,fisheye,contrastDown,0.657101865,0.230989957,0.68866571,0.659971306,0.700143472,0.307030129,0.761836442,0.701578192,0.510760402,0.137733142,0.529411765,0.507890961,0.043041607,0.018651363,0.027259684,2783.503863,42.0984087,2825.602272,2826.492973
,fisheye,blurImage,0.657101865,0.744619799,0.842180775,0.784791966,0.700143472,0.895265423,0.928263989,0.941176471,0.510760402,0.717360115,0.744619799,0.766140603,0.034433286,0.040172166,0.055954089,2786.164843,43.2543614,2829.419205,2757.473058
cocoperson,flipLeftRight,flipUpDown,0.581325301,0.838353414,0.893574297,0.840361446,0.445783133,0.954819277,0.963855422,0.953815261,0.31124498,0.825301205,0.832329317,0.825301205,0.015060241,0.013052209,0.021084337,43.8831114,41.1805765,85.0636879,41.4832271
,flipLeftRight,rotateMinus5deg,0.581325301,0.645582329,0.795180723,0.66064257,0.445783133,0.432730924,0.601405622,0.46686747,0.31124498,0.295180723,0.4437751,0.321285141,0.072289157,0.083333333,0.080321285,41.4821688,42.6907814,84.1729502,43.2121761
,flipLeftRight,rotatePlus5deg,0.581325301,0.633534137,0.780120482,0.664658635,0.445783133,0.428714859,0.596385542,0.468875502,0.31124498,0.300200803,0.432730924,0.335341365,0.082329317,0.072289157,0.082329317,41.4833667,42.5764684,84.0598351,43.4808925
,flipLeftRight,shearMinus20deg,0.581325301,0.624497992,0.777108434,0.644578313,0.445783133,0.536144578,0.654618474,0.577309237,0.31124498,0.393574297,0.513052209,0.416666667,0.078313253,0.088353414,0.080321285,42.149614,113.2544528,155.4040668,111.9511353
,flipLeftRight,shearPlus20deg,0.581325301,0.621485944,0.786144578,0.630522088,0.445783133,0.568273092,0.676706827,0.567269076,0.31124498,0.425702811,0.532128514,0.415662651,0.067269076,0.070281124,0.072289157,41.6643707,111.8606305,153.5250012,111.6944964
,flipUpDown,rotateMinus5deg,0.838353414,0.645582329,0.909638554,0.827309237,0.954819277,0.432730924,0.963855422,0.932730924,0.825301205,0.295180723,0.833333333,0.800200803,0.016064257,0.006024096,0.014056225,40.8550986,43.4913371,84.3464357,43.2383572
,flipUpDown,rotatePlus5deg,0.838353414,0.633534137,0.907630522,0.827309237,0.954819277,0.428714859,0.962851406,0.936746988,0.825301205,0.300200803,0.829317269,0.8062249,0.017068273,0.011044177,0.018072289,40.9967193,42.7982982,83.7950175,42.8254208
,flipUpDown,shearMinus20deg,0.838353414,0.624497992,0.892570281,0.847389558,0.954819277,0.536144578,0.962851406,0.952811245,0.825301205,0.393574297,0.832329317,0.830321285,0.023092369,0.016064257,0.025100402,41.0644218,113.5048936,154.5693154,111.8864401
,flipUpDown,shearPlus20deg,0.838353414,0.621485944,0.888554217,0.83935743,0.954819277,0.568273092,0.960843373,0.949799197,0.825301205,0.425702811,0.833333333,0.823293173,0.016064257,0.013052209,0.021084337,40.8170045,111.6227032,152.4397077,112.7178036
,rotateMinus5deg,shearMinus20degrees,0.645582329,0.624497992,0.804216867,0.673694779,0.432730924,0.536144578,0.640562249,0.62248996,0.295180723,0.393574297,0.489959839,0.479919679,0.063253012,0.091365462,0.110441767,42.6967456,111.3923321,154.0890777,128.0516184
,rotateMinus5deg,shearPlus20degrees,0.645582329,0.432730924,0.621485944,0.568273092,0.810240964,0.670682731,0.631526104,0.524096386,0.295180723,0.393574297,0.489959839,0.479919679,0.063253012,0.091365462,0.110441767,0.295180723,0.425702811,0.520080321,0.379518072
,flipLeftRight,blurImage,0.581325301,0.77811245,0.851405622,0.773092369,0.445783133,0.87248996,0.891566265,0.879518072,0.31124498,0.741967871,0.756024096,0.739959839,0.025100402,0.030120482,0.037148594,113.6072037,115.5658235,229.1730272,114.4191749
,flipUpDown,blurImage,0.838353414,0.77811245,0.880522088,0.870481928,0.954819277,0.87248996,0.982931727,0.983935743,0.825301205,0.741967871,0.857429719,0.864457831,0.017068273,0.010040161,0.018072289,110.3419714,114.5090431,224.8510145,115.8685876
,rotateMinus5deg,blur_image,0.645582329,0.77811245,0.87751004,0.767068273,0.432730924,0.87248996,0.883534137,0.868473896,0.295180723,0.741967871,0.757028112,0.729919679,0.019076305,0.03313253,0.039156627,111.5570234,114.1729232,225.7299466,121.188813
,rotatePlus5deg,shearMinus20degrees,0.633534137,0.624497992,0.81124498,0.667670683,0.428714859,0.536144578,0.635542169,0.551204819,0.300200803,0.393574297,0.492971888,0.417670683,0.060240964,0.070281124,0.082329317,111.5130559,249.8369887,361.3500446,278.4380123
,rotatePlus5deg,shearPlus20degrees,0.633534137,0.621485944,0.795180723,0.680722892,0.428714859,0.568273092,0.648594378,0.619477912,0.300200803,0.425702811,0.501004016,0.484939759,0.06124498,0.081325301,0.095381526,111.4821547,249.0482934,360.5304481,278.6244285
,rotatePlus5deg,blurImage,0.633534137,0.77811245,0.87248996,0.764056225,0.428714859,0.87248996,0.881526104,0.855421687,0.300200803,0.741967871,0.747991968,0.723895582,0.029116466,0.029116466,0.03815261,111.5279969,114.0600182,225.5880151,118.7412521
,shearMinus20degrees,blurImage,0.624497992,0.77811245,0.856425703,0.786144578,0.536144578,0.87248996,0.894578313,0.888554217,0.393574297,0.741967871,0.764056225,0.751004016,0.029116466,0.032128514,0.03815261,247.6917273,113.9037638,361.5954911,255.3129312
,shearPlus20degrees,blurImage,0.621485944,0.77811245,0.857429719,0.801204819,0.568273092,0.87248996,0.902610442,0.886546185,0.425702811,0.741967871,0.767068273,0.766064257,0.034136546,0.02811245,0.041164659,248.4137892,113.7261057,362.1398949,252.9755316
,flipLeftRight,brightnessPlus20,0.581325301,0.202811245,0.623493976,0.575301205,0.445783133,0.225903614,0.503012048,0.454819277,0.31124498,0.109437751,0.346385542,0.312248996,0.036144578,0.020080321,0.02811245,43.2705478,41.0237753,84.2943231,39.7745579
,flipUpDown,brightnessPlus20,0.838353414,0.202811245,0.847389558,0.840361446,0.954819277,0.225903614,0.96184739,0.951807229,0.825301205,0.109437751,0.829317269,0.825301205,0.00502008,0.002008032,0.004016064,38.9981725,39.4309646,78.4291371,39.7887879
,rotatePlus5deg,brightnessPlus20,0.633534137,0.202811245,0.673694779,0.63253012,0.428714859,0.225903614,0.516064257,0.428714859,0.300200803,0.109437751,0.347389558,0.286144578,0.054216867,0.025100402,0.032128514,39.6539188,39.5511871,79.2051059,41.1338054
,shearPlus20deg,brightnessPlus20,0.621485944,0.202811245,0.665662651,0.621485944,0.568273092,0.225903614,0.625502008,0.562248996,0.425702811,0.109437751,0.46184739,0.418674699,0.031124498,0.012048193,0.020080321,106.2277318,38.8875939,145.1153257,107.4888609
,flipLeftRight,brightnessMinus20,0.581325301,0.22188755,0.640562249,0.587349398,0.445783133,0.266064257,0.537148594,0.472891566,0.31124498,0.147590361,0.379518072,0.336345382,0.045180723,0.03313253,0.037148594,38.053675,39.1959108,77.2495858,39.7110193
,flipUpDown,brightnessMinus20,0.838353414,0.22188755,0.847389558,0.834337349,0.954819277,0.266064257,0.96184739,0.951807229,0.825301205,0.147590361,0.828313253,0.821285141,0.006024096,0.002008032,0.004016064,38.6011937,39.5676398,78.1688335,39.7818129
,rotatePlus5deg,brightnessMinus20,0.633534137,0.22188755,0.681726908,0.611445783,0.428714859,0.266064257,0.540160643,0.448795181,0.300200803,0.147590361,0.375502008,0.305220884,0.02811245,0.023092369,0.024096386,39.7177638,39.5549672,79.272731,41.0514334
,shearPlus20deg,brightnessMinus20,0.621485944,0.22188755,0.662650602,0.630522088,0.568273092,0.266064257,0.641566265,0.571285141,0.425702811,0.147590361,0.47188755,0.434738956,0.036144578,0.017068273,0.030120482,105.7873869,38.9562834,144.7436703,107.333402
,flipLeftRight,fisheye,0.581325301,0.713855422,0.828313253,0.696787149,0.445783133,0.692771084,0.779116466,0.684738956,0.31124498,0.553212851,0.623493976,0.53815261,0.032128514,0.037148594,0.051204819,38.1636641,2935.270747,2973.434411,3081.629428
,flipUpDown,fisheye,0.838353414,0.713855422,0.909638554,0.850401606,0.954819277,0.692771084,0.969879518,0.956827309,0.825301205,0.553212851,0.843373494,0.836345382,0.021084337,0.013052209,0.022088353,45.880784,2193.004124,2238.884908,2180.863496
,rotatePlus5deg,fisheye,0.633534137,0.713855422,0.847389558,0.733935743,0.428714859,0.692771084,0.742971888,0.686746988,0.300200803,0.553212851,0.603413655,0.56124498,0.044176707,0.051204819,0.071285141,39.2485277,2184.334551,2223.583078,2713.654243
,shearPlus20deg,fisheye,0.621485944,0.713855422,0.825301205,0.728915663,0.568273092,0.692771084,0.792168675,0.74497992,0.425702811,0.553212851,0.644578313,0.609437751,0.048192771,0.050200803,0.060240964,105.5970046,2201.246917,2306.843922,2720.083706
,flipLeftRight,contrastUp,0.581325301,0.657630522,0.803212851,0.689759036,0.445783133,0.59939759,0.703815261,0.600401606,0.31124498,0.463855422,0.554216867,0.465863454,0.044176707,0.047188755,0.052208835,38.1199939,39.5724035,77.6923974,40.0492376
,flipUpDown,contrastUp,0.838353414,0.657630522,0.886546185,0.830321285,0.954819277,0.59939759,0.968875502,0.937751004,0.825301205,0.463855422,0.840361446,0.810240964,0.020080321,0.007028112,0.018072289,38.8054311,39.9275979,78.733029,40.0378605
,rotatePlus5deg,contrastUp,0.633534137,0.657630522,0.823293173,0.696787149,0.428714859,0.59939759,0.692771084,0.576305221,0.300200803,0.463855422,0.545180723,0.43875502,0.058232932,0.051204819,0.057228916,40.0106622,39.9218873,79.9325495,41.4127392
,shearPlus20deg,contrastUp,0.621485944,0.657630522,0.810240964,0.714859438,0.568273092,0.59939759,0.742971888,0.68875502,0.425702811,0.463855422,0.597389558,0.540160643,0.06124498,0.058232932,0.064257028,106.5192518,39.3745887,145.8938405,108.6584983
,flipLeftRight,contrastDown,0.581325301,0.21686747,0.629518072,0.575301205,0.445783133,0.261044177,0.517068273,0.460843373,0.31124498,0.139558233,0.361445783,0.317269076,0.041164659,0.021084337,0.027108434,38.2960592,39.5573683,77.8534275,40.047393
,flipUpDown,contrastDown,0.838353414,0.21686747,0.847389558,0.842369478,0.954819277,0.261044177,0.96184739,0.951807229,0.825301205,0.139558233,0.829317269,0.826305221,0.006024096,0.002008032,0.004016064,39.0423755,39.8502594,78.8926349,40.1015715
,rotatePlus5deg,contrastDown,0.633534137,0.21686747,0.678714859,0.625502008,0.428714859,0.261044177,0.530120482,0.432730924,0.300200803,0.139558233,0.361445783,0.293172691,0.048192771,0.02811245,0.034136546,40.083535,39.8809284,79.9644634,41.35607
,shearPlus20deg,contrastDown,0.621485944,0.21686747,0.664658635,0.615461847,0.568273092,0.261044177,0.626506024,0.570281124,0.425702811,0.139558233,0.463855422,0.422690763,0.039156627,0.018072289,0.02811245,107.0552586,39.3203324,146.375591,107.6258703
,fisheye,brightnessPlus20,0.713855422,0.202811245,0.748995984,0.714859438,0.692771084,0.225903614,0.754016064,0.674698795,0.553212851,0.109437751,0.582329317,0.535140562,0.03313253,0.008032129,0.019076305,2189.042736,39.1431758,2228.185912,2189.417912
,fisheye,brightnessMinus20,0.713855422,0.22188755,0.740963855,0.698795181,0.692771084,0.266064257,0.760040161,0.692771084,0.553212851,0.147590361,0.584337349,0.547188755,0.021084337,0.012048193,0.018072289,2186.532701,38.8078455,2225.340547,2191.474822
,fisheye,contrastUp,0.713855422,0.657630522,0.848393574,0.74497992,0.692771084,0.59939759,0.810240964,0.747991968,0.553212851,0.463855422,0.670682731,0.610441767,0.043172691,0.03815261,0.048192771,2186.78995,39.0307992,2225.820749,2185.507715
,fisheye,contrastDown,0.713855422,0.21686747,0.756024096,0.708835341,0.692771084,0.261044177,0.758032129,0.679718876,0.553212851,0.139558233,0.58935743,0.53815261,0.034136546,0.011044177,0.020080321,2185.069652,38.8073055,2223.876958,2186.845543
,fisheye,blurImage,0.713855422,0.77811245,0.87751004,0.824297189,0.692771084,0.87248996,0.91064257,0.918674699,0.553212851,0.741967871,0.77811245,0.798192771,0.029116466,0.045180723,0.0562249,2186.29132,40.0700062,2226.361327,2209.696981
cocovehicle,flipLeftRight,flipUpDown,0.578313253,0.830321285,0.886546185,0.835341365,0.477911647,0.97188755,0.978915663,0.97188755,0.31626506,0.817269076,0.821285141,0.821285141,0.012048193,0.007028112,0.016064257,43.8884085,41.0663701,84.9547786,41.5040399
,flipLeftRight,rotateMinus5deg,0.578313253,0.674698795,0.8062249,0.657630522,0.477911647,0.464859438,0.636546185,0.465863454,0.31626506,0.31626506,0.457831325,0.307228916,0.074297189,0.076305221,0.071285141,41.5241066,42.9673638,84.4914704,44.0857121
,flipLeftRight,rotatePlus5deg,0.578313253,0.635542169,0.78313253,0.677710843,0.477911647,0.451807229,0.634538153,0.478915663,0.31626506,0.305220884,0.448795181,0.328313253,0.074297189,0.063253012,0.070281124,41.722501,42.6493407,84.3718417,43.4130451
,flipLeftRight,shearMinus20deg,0.578313253,0.624497992,0.770080321,0.645582329,0.477911647,0.570281124,0.690763052,0.613453815,0.31626506,0.401606426,0.525100402,0.437751004,0.071285141,0.088353414,0.088353414,41.6534177,112.8274754,154.4808931,113.5015291
,flipLeftRight,shearPlus20deg,0.578313253,0.597389558,0.762048193,0.63253012,0.477911647,0.580321285,0.699799197,0.600401606,0.31626506,0.404618474,0.524096386,0.419678715,0.087349398,0.078313253,0.085341365,41.4995855,111.3371076,152.8366931,111.9534253
