Dataset,MR1,MR2,objfailureRateMR1,objfailureRateMR2,objfailureRateMR1_MR2_combined,objfailureRateMR1_2_composite,classfailureRateMR1,classfailureRateMR2,classfailureRateMR1_MR2_combined,classfailureRateMR1_2_composite,objClassDetectFailureRateMR1,objClassDetectFailureRateMR2,objClassDetectFailureRateMR1_MR2,objClassDetectFailureRateMR12,objDetectCompositeMRUniqueFaults,objClassCompositeMRUniqueFaults,compositeMRUniqueFaults,timeMR1,timeMR2,timeMR12,timeMR12_composite
,rotatePlus5deg,shearPlus20degrees,0.635542169,0.597389558,0.776104418,0.684738956,0.451807229,0.580321285,0.664658635,0.661646586,0.305220884,0.404618474,0.488955823,0.495983936,0.071285141,0.092369478,0.110441767,113.0182327,246.0163814,359.0346141,275.7905546
,rotatePlus5deg,blurImage,0.635542169,0.767068273,0.86746988,0.75,0.451807229,0.901606426,0.913654618,0.879518072,0.305220884,0.734939759,0.742971888,0.71184739,0.021084337,0.015060241,0.030120482,110.9250935,113.3542645,224.279358,119.0223617
,shearMinus20degrees,blurImage,0.624497992,0.767068273,0.848393574,0.777108434,0.570281124,0.901606426,0.925702811,0.913654618,0.401606426,0.734939759,0.759036145,0.74497992,0.029116466,0.026104418,0.036144578,247.8443194,113.7793279,361.6236473,254.4076403
,shearPlus20degrees,blurImage,0.597389558,0.767068273,0.842369478,0.78815261,0.580321285,0.901606426,0.922690763,0.912650602,0.404618474,0.734939759,0.757028112,0.758032129,0.032128514,0.026104418,0.037148594,247.6008338,114.3196713,361.9205051,255.06633
,flipLeftRight,brightnessPlus20,0.578313253,0.207831325,0.623493976,0.575301205,0.477911647,0.254016064,0.543172691,0.486947791,0.31626506,0.110441767,0.351405622,0.321285141,0.034136546,0.017068273,0.026104418,40.9081602,39.0992216,80.0073818,39.8164856
,flipUpDown,brightnessPlus20,0.830321285,0.207831325,0.83935743,0.830321285,0.97188755,0.254016064,0.978915663,0.967871486,0.817269076,0.110441767,0.820281124,0.814257028,0.003012048,0.002008032,0.002008032,38.7808789,39.6304461,78.411325,39.9524366
,rotatePlus5deg,brightnessPlus20,0.635542169,0.207831325,0.681726908,0.639558233,0.451807229,0.254016064,0.552208835,0.442771084,0.305220884,0.110441767,0.354417671,0.287148594,0.054216867,0.022088353,0.034136546,39.9271337,39.6174973,79.544631,41.3070718
,shearPlus20deg,brightnessPlus20,0.597389558,0.207831325,0.644578313,0.609437751,0.580321285,0.254016064,0.641566265,0.578313253,0.404618474,0.110441767,0.445783133,0.408634538,0.041164659,0.017068273,0.030120482,105.5523628,39.1200661,144.6724289,106.9781355
,flipLeftRight,brightnessMinus20,0.578313253,0.215863454,0.638554217,0.579317269,0.477911647,0.284136546,0.565261044,0.509036145,0.31626506,0.138554217,0.375502008,0.348393574,0.039156627,0.034136546,0.039156627,38.3042702,39.3283185,77.6325887,39.97321
,flipUpDown,brightnessMinus20,0.830321285,0.215863454,0.838353414,0.831325301,0.97188755,0.284136546,0.978915663,0.972891566,0.817269076,0.138554217,0.819277108,0.817269076,0.006024096,0.004016064,0.00502008,38.6705601,39.6507304,78.3212905,39.9167303
,rotatePlus5deg,brightnessMinus20,0.635542169,0.215863454,0.680722892,0.614457831,0.451807229,0.284136546,0.560240964,0.469879518,0.305220884,0.138554217,0.36746988,0.304216867,0.031124498,0.024096386,0.02811245,39.7910418,39.75437,79.5454118,42.4101528
,shearPlus20deg,brightnessMinus20,0.597389558,0.215863454,0.648594378,0.608433735,0.580321285,0.284136546,0.649598394,0.587349398,0.404618474,0.138554217,0.448795181,0.419678715,0.03815261,0.021084337,0.039156627,105.9930311,38.9160213,144.9090524,106.8142367
